time,dt,error,p,i,d
1763500379.618381,0.05885648727416992,[ 0.3690625  -0.06812503],[ 0.2214375  -0.04087502],[-0.02611574  0.25771577],[ 0.43420283 -0.17132163]
1763500379.677703,0.05932188034057617,[ 0.38828125 -0.07708333],[ 0.23296875 -0.04625   ],[0.02225476 0.24811304],[ 0.71274309 -0.33222611]
1763500379.7380297,0.06032681465148926,[ 0.38298912 -0.07693621],[ 0.22979347 -0.04616173],[0.07077424 0.23836628],[-0.19299353  0.00536518]
1763500379.7968447,0.05881500244140625,[ 0.37241417 -0.071875  ],[ 0.2234485 -0.043125 ],[0.11677168 0.22948889],[-0.39556042  0.18931682]
1763500379.8564312,0.059586524963378906,[ 0.36640625 -0.071875  ],[ 0.21984375 -0.043125  ],[0.16262071 0.22049505],[-0.22181907 -0.        ]
1763500379.914696,0.058264732360839844,[ 0.35234375 -0.065625  ],[ 0.21140625 -0.039375  ],[0.20573206 0.21246544],[-0.53098159  0.23599182]
1763500379.973962,0.059266090393066406,[ 0.33808302 -0.06458333],[ 0.20284981 -0.03875   ],[0.24780947 0.20442747],[-0.52936869  0.03866742]
1763500380.0338614,0.059899330139160156,[ 0.32136323 -0.05954558],[ 0.19281794 -0.03572735],[0.2882333  0.19693732],[-0.61408902  0.18502805]
1763500380.0899625,0.056101083755493164,[ 0.30353311 -0.05833333],[ 0.18211987 -0.035     ],[0.32399322 0.19006494],[-0.69920694  0.04753819]
1763500380.1463733,0.056410789489746094,[ 0.29404883 -0.05650196],[ 0.1764293  -0.03390118],[0.35882703 0.18337156],[-0.36988339  0.07142286]
1763500380.2029765,0.056603193283081055,[ 0.27551172 -0.05162239],[ 0.16530703 -0.03097343],[0.3915762  0.17723538],[-0.7204833   0.18965457]
1763500380.2622395,0.059262990951538086,[ 0.25698771 -0.04961109],[ 0.15419263 -0.02976665],[0.42355891 0.17106117],[-0.68766031  0.07466478]
1763500380.3215275,0.05928802490234375,[ 0.23690612 -0.04706052],[ 0.14214367 -0.02823631],[0.45305487 0.1652019 ],[-0.74516737  0.09464398]
1763500380.3787444,0.05721688270568848,[ 0.2274518  -0.04536222],[ 0.13647108 -0.02721733],[0.48038444 0.15975139],[-0.36352047  0.06530008]
1763500380.4387555,0.06001114845275879,[ 0.20842392 -0.0445652 ],[ 0.12505435 -0.02673912],[0.50665074 0.15413513],[-0.69755921  0.02921854]
1763500380.498246,0.05949044227600098,[ 0.18922994 -0.04794044],[ 0.11353796 -0.02876427],[0.53029122 0.14814593],[-0.70980751 -0.12481899]
1763500380.556278,0.05803203582763672,[ 0.16953125 -0.04595833],[ 0.10171875 -0.027575  ],[0.55095153 0.14254512],[-0.74677926  0.07514223]
1763500380.614634,0.05835604667663574,[ 0.15978742 -0.04859174],[ 0.09587245 -0.02915504],[0.57053311 0.13659031],[-0.36733869 -0.09927862]
1763500380.6729512,0.05831718444824219,[ 0.14135346 -0.04430606],[ 0.08481208 -0.02658363],[0.58784412 0.13116432],[-0.69541586  0.16167632]
1763500380.7309706,0.058019399642944336,[ 0.12069688 -0.04791851],[ 0.07241813 -0.02875111],[0.60254991 0.12532589],[-0.78326368 -0.13697833]
1763500380.7891903,0.05821967124938965,[ 0.09841666 -0.05040423],[ 0.05905    -0.03024254],[0.61458246 0.11916341],[-0.84192292 -0.09393019]
1763500380.8482115,0.0590212345123291,[ 0.09076691 -0.05227655],[ 0.05446014 -0.03136593],[0.62583253 0.11268401],[-0.28514249 -0.06979009]
1763500380.9065154,0.0583038330078125,[ 0.07047901 -0.05625   ],[ 0.04228741 -0.03375   ],[0.63446184 0.10579687],[-0.76553062 -0.14993174]
1763500380.9644165,0.05790114402770996,[ 0.04981236 -0.0587382 ],[ 0.02988742 -0.03524292],[0.64051865 0.09865475],[-0.78524568 -0.09454113]
1763500381.0218792,0.05746269226074219,[ 0.0311296  -0.06089369],[ 0.01867776 -0.03653622],[0.64427511 0.09130661],[-0.71528297 -0.08252465]
1763500381.0805247,0.05864548683166504,[ 0.02281513 -0.06357695],[ 0.01368908 -0.03814617],[0.64708492 0.08347676],[-0.3119051  -0.10065852]
1763500381.1385763,0.05805158615112305,[ 0.00429301 -0.06684202],[ 0.00257581 -0.04010521],[0.64760827 0.07532816],[-0.70193884 -0.12373716]
1763500381.198193,0.059616804122924805,[-0.01078987 -0.07651329],[-0.00647392 -0.04590797],[0.64625743 0.06574905],[-0.55659381 -0.35689274]
1763500381.2565582,0.0583651065826416,[-0.0259511 -0.0795969],[-0.01557066 -0.04775814],[0.64307669 0.05599312],[-0.57148361 -0.11623286]
